Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2027,1,23,291.46541,275.1674413,263.6569961,256.4217678,253.3621,253.1880615,258.4990684,269.8613154,286.2957848,307.8017099,321.223976,328.4205731,333.2320537,336.9155218,339.2993283,340.1231777,345.3915648,347.6148698,348.7758292,362.0889773,360.7471611,348.7832812,334.9204946,313.1784061
2027,1,24,290.5460333,274.9157758,264.9038112,259.5026971,255.023428,253.4298316,255.7537488,261.541695,270.3807281,286.6658867,303.0265531,310.4649639,313.3276123,317.5145134,321.8548951,327.1027377,331.6867718,335.5746644,337.1103574,349.383823,350.1141964,344.9370627,331.0578457,308.9576339
2027,1,25,286.4947511,269.4335535,258.0754821,251.5590673,247.5971729,249.0123915,259.7378616,280.242377,296.0135995,313.9992113,328.5782577,338.538781,345.4763951,349.9567703,351.1368299,352.4520019,354.6539145,356.146347,355.8873407,370.3803121,370.1974531,360.2405764,347.2929997,321.938506
2027,1,26,296.6511782,280.2842855,270.9780087,265.8022165,263.7222522,260.8684859,273.4404613,293.070399,311.9288186,328.379407,345.6702593,352.6727669,362.1102399,359.632124,356.4509729,363.8460442,366.9626964,362.9783572,359.8026996,373.524514,375.8825844,367.9612867,353.8601789,327.3270846
2027,1,27,300.8431088,283.7415395,273.3824691,266.2512668,262.1165526,261.2728794,265.9997632,286.2919101,303.8497323,320.6315186,342.0156878,352.2407726,357.9900445,364.161548,366.1893832,371.4692193,379.6855705,382.1013698,377.3723226,387.2189765,388.5886034,378.1297969,363.8455433,339.3260414
2027,1,28,311.5350228,293.0176378,280.08794,273.0372315,269.3067918,268.5952772,278.9550236,297.6103986,312.3932011,330.4479918,343.4531312,352.9857329,361.4927769,365.9829164,371.1092567,376.4757976,383.3042933,384.2211521,379.13059,387.4235734,387.8168963,376.8071248,360.3101008,336.1113009
2027,1,29,311.3346754,293.6721131,278.8944208,270.601364,265.8395442,265.7967414,276.7890898,296.638209,311.5746599,326.1349463,337.0533845,345.7782653,353.3438809,356.2700053,356.7844485,356.1996623,360.6530537,362.7072647,360.4558009,370.4655773,371.952976,361.5112841,347.0009607,325.7071564
2027,1,30,302.1811331,284.5563349,272.4665833,264.5813834,259.2831755,257.6589834,263.8326184,275.9016952,290.1995028,307.4771704,318.6057304,325.6911188,329.9115274,332.0492957,333.4085179,334.9316552,336.8406507,338.5618456,339.7538771,352.527045,352.862617,341.7543872,328.3983887,309.5196122
2027,1,31,289.2933781,272.8153581,260.4202867,254.1229633,250.1774438,247.3918486,247.8700941,258.2104874,266.8375908,282.4019209,295.607867,301.3530955,305.8472643,307.5548622,311.405555,314.0643951,319.1335147,319.8166313,320.9038401,334.6698433,337.8285594,330.2187425,318.164192,298.3591634
2027,2,1,276.3478287,261.2040994,252.488357,244.4876674,239.7004539,239.3668825,244.3906231,252.9136436,267.0941836,287.3511701,302.8121036,312.3866036,316.2653522,319.7370864,325.4327566,328.7279962,333.3421811,336.0864073,337.6362726,352.1639333,357.148145,348.635716,334.4617593,310.0620147
2027,2,2,284.0968424,266.8608768,255.3149344,248.3349477,244.924058,245.6326409,259.3029398,280.9489748,294.6174676,309.1004959,323.8530469,332.387495,340.6760106,342.6130981,345.0849957,349.5618425,355.2792014,355.7402498,351.3855187,365.1152624,367.898275,361.0843534,346.3768198,318.7413801
2027,2,3,289.0918647,271.7045967,260.0290844,253.7274031,251.1822468,253.7328428,265.4955682,283.0050813,298.6814082,311.2105921,323.3180372,329.4207283,334.1113615,333.5556359,334.6394817,340.3457208,344.7922271,345.2330987,344.5321286,357.3528819,360.7083734,352.3264799,338.5333062,312.1770507
